Brkenn,X_WERT,Y_WERT,wellid,y,x,k,losstype,pumploc,qlimit,ppflag,pumpcap,rw,hlim,qcut,starttime,endtime,,x_4000
WA5991,2528511.79,5660683.61,well1095,1503.26,1320.86,2,thiem,0,0,0,0,0.5,6,0,9,11,,320.86
WA5992,2528536.5,5659732.95,well1096,2453.92,1345.57,2,thiem,0,0,0,0,0.5,6,0,9,11,,345.57
WA5993,2528611.33,5659963.93,well1097,2222.94,1420.4,2,thiem,0,0,0,0,0.5,6,0,10,11,,420.4
WA5994,2528673.91,5660069.99,well1098,2116.88,1482.98,2,thiem,0,0,0,0,0.5,6,0,9,11,,482.98
WA5997,2528643.88,5660277.77,well1099,1909.1,1452.95,2,thiem,0,0,0,0,0.5,6,0,10,11,,452.95
WA5998,2528431.18,5660509.89,well1100,1676.98,1240.25,2,thiem,0,0,0,0,0.5,6,0,9,11,,240.25
WA6001,2528461.37,5661007.76,well1101,1179.11,1270.44,2,thiem,0,0,0,0,0.5,6,0,9,11,,270.44
WA6024,2529559.55,5660298.92,well1102,1887.95,2368.62,2,thiem,0,0,0,0,0.5,6,0,9,11,,1368.62
WA6071,2529448.19,5660569.87,well1103,1617,2257.26,2,thiem,0,0,0,0,0.5,6,0,9,11,,1257.26
WA6076,2529477.61,5660244.51,well1104,1942.36,2286.68,2,thiem,0,0,0,0,0.5,6,0,9,11,,1286.68
WA6094,2531364.69,5657718.69,well1105,4468.18,4173.76,2,thiem,0,0,0,0,0.5,6,0,9,11,,3173.76
WA6095,2531089.47,5657533.35,well1106,4653.52,3898.54,2,thiem,0,0,0,0,0.5,6,0,9,11,,2898.54
WA6096,2531448.58,5657342.93,well1107,4843.94,4257.65,2,thiem,0,0,0,0,0.5,6,0,9,11,,3257.65
WA6098,2531410.44,5657114.25,well1108,5072.62,4219.51,2,thiem,0,0,0,0,0.5,6,0,9,11,,3219.51
WA6131,2529367.94,5661206,well1109,980.87,2177.01,2,thiem,0,0,0,0,0.5,6,0,9,11,,1177.01
WA6132,2529432.19,5661074.32,well1110,1112.55,2241.26,2,thiem,0,0,0,0,0.5,6,0,9,11,,1241.26
WA6146,2529680.39,5660374.2,well1111,1812.67,2489.46,2,thiem,0,0,0,0,0.5,6,0,9,11,,1489.46
WA6149,2529737.21,5660210.05,well1112,1976.82,2546.28,2,thiem,0,0,0,0,0.5,6,0,9,11,,1546.28
WA6151,2529747.49,5659975.48,well1113,2211.39,2556.56,2,thiem,0,0,0,0,0.5,6,0,9,11,,1556.56
WA6155,2530012.82,5659505.79,well1114,2681.08,2821.89,2,thiem,0,0,0,0,0.5,6,0,9,11,,1821.89
WA6159,2530848.61,5657795.42,well1115,4391.45,3657.68,2,thiem,0,0,0,0,0.5,6,0,9,11,,2657.68
WA6160,2531053.61,5658027.57,well1116,4159.3,3862.68,2,thiem,0,0,0,0,0.5,6,0,9,11,,2862.68
WA6161,2530911.61,5657640.93,well1117,4545.94,3720.68,2,thiem,0,0,0,0,0.5,6,0,9,11,,2720.68
WA6164,2531212.63,5657489.2,well1118,4697.67,4021.7,2,thiem,0,0,0,0,0.5,6,0,9,11,,3021.7
WA6178,2529148.46,5661450.93,well1119,735.94,1957.53,2,thiem,0,0,0,0,0.5,6,0,10,11,,957.53
WA6184,2529322,5660923.96,well1120,1262.91,2131.07,2,thiem,0,0,0,0,0.5,6,0,9,11,,1131.07
WA6188,2529345.52,5660509.39,well1121,1677.48,2154.59,2,thiem,0,0,0,0,0.5,6,0,9,11,,1154.59
WA6192,2529418.95,5659456.52,well1122,2730.35,2228.02,2,thiem,0,0,0,0,0.5,6,0,9,11,,1228.02
WA6194,2529812.49,5659484.16,well1123,2702.71,2621.56,2,thiem,0,0,0,0,0.5,6,0,9,11,,1621.56
WA6195,2529774.62,5659371.43,well1124,2815.44,2583.69,2,thiem,0,0,0,0,0.5,6,0,9,11,,1583.69
WA6196,2529880.94,5659348.82,well1125,2838.05,2690.01,2,thiem,0,0,0,0,0.5,6,0,9,11,,1690.01
WA6197,2529790.46,5659171.83,well1126,3015.04,2599.53,2,thiem,0,0,0,0,0.5,6,0,9,11,,1599.53
WA6198,2529925.87,5658928.57,well1127,3258.3,2734.94,2,thiem,0,0,0,0,0.5,6,0,9,11,,1734.94
WA6199,2529856.43,5658664.39,well1128,3522.48,2665.5,2,thiem,0,0,0,0,0.5,6,0,9,11,,1665.5
WA6202,2530427.62,5658393.03,well1129,3793.84,3236.69,2,thiem,0,0,0,0,0.5,6,0,9,10,,2236.69
WA6204,2530560.04,5658111.29,well1130,4075.58,3369.11,2,thiem,0,0,0,0,0.5,6,0,9,11,,2369.11
WA6205,2530198.8,5658050.86,well1131,4136.01,3007.87,2,thiem,0,0,0,0,0.5,6,0,9,11,,2007.87
WA6207,2530292.79,5657742.91,well1132,4443.96,3101.86,2,thiem,0,0,0,0,0.5,6,0,9,11,,2101.86
WA6208,2530708.52,5657866.34,well1133,4320.53,3517.59,2,thiem,0,0,0,0,0.5,6,0,9,11,,2517.59
WA6209,2530741.41,5657647.67,well1134,4539.2,3550.48,2,thiem,0,0,0,0,0.5,6,0,9,11,,2550.48
WA6210,2531015.46,5657321.43,well1135,4865.44,3824.53,2,thiem,0,0,0,0,0.5,6,0,9,11,,2824.53
WA6214,2531436.62,5657028.76,well1136,5158.11,4245.69,2,thiem,0,0,0,0,0.5,6,0,12,12,,3245.69
WA6220,2529042.06,5661465.12,well1137,721.75,1851.13,2,thiem,0,0,0,0,0.5,6,0,10,11,,851.13
WA6229,2529186.29,5660657.35,well1138,1529.52,1995.36,2,thiem,0,0,0,0,0.5,6,0,9,11,,995.36
WA6230,2529011.19,5660400.56,well1139,1786.31,1820.26,2,thiem,0,0,0,0,0.5,6,0,10,11,,820.26
WA6237,2529716.2,5659883.47,well1140,2303.4,2525.27,2,thiem,0,0,0,0,0.5,6,0,9,11,,1525.27
WA6239,2529428.29,5659620.83,well1141,2566.04,2237.36,2,thiem,0,0,0,0,0.5,6,0,9,11,,1237.36
WA6240,2529632.84,5659575.28,well1142,2611.59,2441.91,2,thiem,0,0,0,0,0.5,6,0,9,11,,1441.91
WA6241,2529643.87,5659347.26,well1143,2839.61,2452.94,2,thiem,0,0,0,0,0.5,6,0,9,11,,1452.94
WA6243,2528579.19,5659332.25,well1144,2854.62,1388.26,2,thiem,0,0,0,0,0.5,6,0,10,11,,388.26
WA6244,2529700.16,5658949.67,well1145,3237.2,2509.23,2,thiem,0,0,0,0,0.5,6,0,9,11,,1509.23
WA6245,2529338.31,5658990.87,well1146,3196,2147.38,2,thiem,0,0,0,0,0.5,6,0,9,11,,1147.38
WA6246,2529582.45,5658758.27,well1147,3428.6,2391.52,2,thiem,0,0,0,0,0.5,6,0,9,11,,1391.52
WA6247,2529817.69,5658565.94,well1148,3620.93,2626.76,2,thiem,0,0,0,0,0.5,6,0,9,11,,1626.76
WA6248,2529560.26,5658379.33,well1149,3807.54,2369.33,2,thiem,0,0,0,0,0.5,6,0,10,11,,1369.33
WA6249,2529388.19,5658371.25,well1150,3815.62,2197.26,2,thiem,0,0,0,0,0.5,6,0,10,11,,1197.26
WA6251,2529891.5,5658197.02,well1151,3989.85,2700.57,2,thiem,0,0,0,0,0.5,6,0,10,11,,1700.57
WA6253,2529329.83,5657831.95,well1152,4354.92,2138.9,2,thiem,0,0,0,0,0.5,6,0,10,11,,1138.9
WA6254,2529390.29,5657694.33,well1153,4492.54,2199.36,2,thiem,0,0,0,0,0.5,6,0,10,11,,1199.36
WA6255,2528541.24,5658078.14,well1154,4108.73,1350.31,2,thiem,0,0,0,0,0.5,6,0,10,11,,350.31
WA6256,2529922.03,5657843.68,well1155,4343.19,2731.1,2,thiem,0,0,0,0,0.5,6,0,10,11,,1731.1
WA6257,2530012.93,5657780.89,well1156,4405.98,2822,2,thiem,0,0,0,0,0.5,6,0,10,11,,1822
WA6258,2530006.28,5657583.03,well1157,4603.84,2815.35,2,thiem,0,0,0,0,0.5,6,0,10,11,,1815.35
WA6259,2530055.9,5657678.81,well1158,4508.06,2864.97,2,thiem,0,0,0,0,0.5,6,0,9,11,,1864.97
WA6260,2530277.27,5657580,well1159,4606.87,3086.34,2,thiem,0,0,0,0,0.5,6,0,10,11,,2086.34
WA6261,2530645.43,5657748.64,well1160,4438.23,3454.5,2,thiem,0,0,0,0,0.5,6,0,10,11,,2454.5
WA6262,2530695.22,5657986.85,well1161,4200.02,3504.29,2,thiem,0,0,0,0,0.5,6,0,9,11,,2504.29
WA6272,2528959.65,5661348.8,well1162,838.07,1768.72,2,thiem,0,0,0,0,0.5,6,0,10,11,,768.72
WA6278,2529011.19,5660400.56,well1163,1786.31,1820.26,2,thiem,0,0,0,0,0.5,6,0,9,11,,820.26
WA6279,2528874.19,5660168.25,well1164,2018.62,1683.26,2,thiem,0,0,0,0,0.5,6,0,9,11,,683.26
WA6280,2529027.17,5660234.69,well1165,1952.18,1836.24,2,thiem,0,0,0,0,0.5,6,0,9,11,,836.24
WA6282,2529045.51,5659976.67,well1166,2210.2,1854.58,2,thiem,0,0,0,0,0.5,6,0,9,11,,854.58
WA6283,2528591.21,5660369.8,well1167,1817.07,1400.28,2,thiem,0,0,0,0,0.5,6,0,9,11,,400.28
WA6284,2529340.8,5659639.42,well1168,2547.45,2149.87,2,thiem,0,0,0,0,0.5,6,0,9,11,,1149.87
WA6285,2529241.36,5659555.51,well1169,2631.36,2050.43,2,thiem,0,0,0,0,0.5,6,0,9,11,,1050.43
WA6286,2529302.21,5659466.93,well1170,2719.94,2111.28,2,thiem,0,0,0,0,0.5,6,0,10,11,,1111.28
WA6287,2529139.75,5659257.96,well1171,2928.91,1948.82,2,thiem,0,0,0,0,0.5,6,0,9,11,,948.82
WA6288,2528407.25,5658983.9,well1172,3202.97,1216.32,2,thiem,0,0,0,0,0.5,6,0,10,11,,216.32
WA6289,2528593.95,5658231.09,well1173,3955.78,1403.02,2,thiem,0,0,0,0,0.5,6,0,9,11,,403.02
WA6290,2529262.37,5658829.76,well1174,3357.11,2071.44,2,thiem,0,0,0,0,0.5,6,0,9,11,,1071.44
WA6291,2529323.2,5658729.44,well1175,3457.43,2132.27,2,thiem,0,0,0,0,0.5,6,0,9,11,,1132.27
WA6292,2529560.42,5658619.19,well1176,3567.68,2369.49,2,thiem,0,0,0,0,0.5,6,0,9,11,,1369.49
WA6293,2529751.28,5658659.18,well1177,3527.69,2560.35,2,thiem,0,0,0,0,0.5,6,0,10,11,,1560.35
WA6294,2529481.34,5658487.75,well1178,3699.12,2290.41,2,thiem,0,0,0,0,0.5,6,0,9,11,,1290.41
WA6295,2529262.94,5658401.32,well1179,3785.55,2072.01,2,thiem,0,0,0,0,0.5,6,0,9,11,,1072.01
WA6296,2529474.21,5658109.89,well1180,4076.98,2283.28,2,thiem,0,0,0,0,0.5,6,0,10,11,,1283.28
WA6297,2529036.78,5658163.16,well1181,4023.71,1845.85,2,thiem,0,0,0,0,0.5,6,0,9,11,,845.85
WA6298,2529722.32,5657913.16,well1182,4273.71,2531.39,2,thiem,0,0,0,0,0.5,6,0,9,11,,1531.39
WA6299,2529643.2,5658035.09,well1183,4151.78,2452.27,2,thiem,0,0,0,0,0.5,6,0,9,11,,1452.27
WA6300,2529905.71,5658016.5,well1184,4170.37,2714.78,2,thiem,0,0,0,0,0.5,6,0,9,11,,1714.78
WA6302,2529735.32,5657797.18,well1185,4389.69,2544.39,2,thiem,0,0,0,0,0.5,6,0,9,11,,1544.39
WA6303,2529155.53,5657606.18,well1186,4580.69,1964.6,2,thiem,0,0,0,0,0.5,6,0,9,11,,964.6
WA6304,2529633.34,5657680.91,well1187,4505.96,2442.41,2,thiem,0,0,0,0,0.5,6,0,9,11,,1442.41
WA6305,2529711.96,5657555.89,well1188,4630.98,2521.03,2,thiem,0,0,0,0,0.5,6,0,9,11,,1521.03
WA6306,2529428.81,5657563.2,well1189,4623.67,2237.88,2,thiem,0,0,0,0,0.5,6,0,10,11,,1237.88
WA6307,2529936.69,5657451.51,well1190,4735.36,2745.76,2,thiem,0,0,0,0,0.5,6,0,9,11,,1745.76
WA6326,2528484.12,5659517.64,well1191,2669.23,1293.19,2,thiem,0,0,0,0,0.5,6,0,9,11,,293.19
WA6329,2528850.76,5659562.33,well1192,2624.54,1659.83,2,thiem,0,0,0,0,0.5,6,0,10,11,,659.83
WA6332,2528994.97,5659338.48,well1193,2848.39,1804.04,2,thiem,0,0,0,0,0.5,6,0,10,11,,804.04
WA6333,2528684.64,5659880.28,well1194,2306.59,1493.71,2,thiem,0,0,0,0,0.5,6,0,9,11,,493.71
WA6334,2529260.15,5659232.59,well1195,2954.28,2069.22,2,thiem,0,0,0,0,0.5,6,0,9,11,,1069.22
WA6336,2529014.04,5659069.85,well1196,3117.02,1823.11,2,thiem,0,0,0,0,0.5,6,0,9,11,,823.11
WA6337,2528764.78,5658973.03,well1197,3213.84,1573.85,2,thiem,0,0,0,0,0.5,6,0,10,11,,573.85
WA6338,2528804.43,5658780.89,well1198,3405.98,1613.5,2,thiem,0,0,0,0,0.5,6,0,9,11,,613.5
WA6339,2529130.52,5658847,well1199,3339.87,1939.59,2,thiem,0,0,0,0,0.5,6,0,10,11,,939.59
WA6341,2529050.54,5658533.33,well1200,3653.54,1859.61,2,thiem,0,0,0,0,0.5,6,0,11,11,,859.61
WA6342,2529333.34,5658506.41,well1201,3680.46,2142.41,2,thiem,0,0,0,0,0.5,6,0,10,11,,1142.41
WA6343,2529062.93,5658408.53,well1202,3778.34,1872,2,thiem,0,0,0,0,0.5,6,0,10,11,,872
WA6344,2528873.86,5658240.51,well1203,3946.36,1682.93,2,thiem,0,0,0,0,0.5,6,0,9,11,,682.93
WA6345,2529308.37,5658264.53,well1204,3922.34,2117.44,2,thiem,0,0,0,0,0.5,6,0,9,11,,1117.44
WA6347,2529254.94,5658072.25,well1205,4114.62,2064.01,2,thiem,0,0,0,0,0.5,6,0,9,11,,1064.01
WA6348,2529453.79,5657904.41,well1206,4282.46,2262.86,2,thiem,0,0,0,0,0.5,6,0,9,11,,1262.86
WA6350,2529053.18,5657958.64,well1207,4228.23,1862.25,2,thiem,0,0,0,0,0.5,6,0,9,11,,862.25
WA6351,2528972.59,5657769.75,well1208,4417.12,1781.66,2,thiem,0,0,0,0,0.5,6,0,10,11,,781.66
WA6352,2528641.23,5658307.75,well1209,3879.12,1450.3,2,thiem,0,0,0,0,0.5,6,0,10,11,,450.3
WA6367,2531322.91,5657497.99,well1210,4688.88,4131.98,2,thiem,0,0,0,0,0.5,6,0,12,12,,3131.98
WA6371,2528944.12,5659463.13,well1211,2723.74,1753.19,2,thiem,0,0,0,0,0.5,6,0,9,11,,753.19
WA6372,2528696.46,5659303.83,well1212,2883.04,1505.53,2,thiem,0,0,0,0,0.5,6,0,9,11,,505.53
WA6373,2528871.92,5659128.19,well1213,3058.68,1680.99,2,thiem,0,0,0,0,0.5,6,0,11,11,,680.99
WA6374,2528924.94,5658932.53,well1214,3254.34,1734.01,2,thiem,0,0,0,0,0.5,6,0,9,11,,734.01
WA6375,2528947.18,5658768.89,well1215,3417.98,1756.25,2,thiem,0,0,0,0,0.5,6,0,9,11,,756.25
WA6376,2528844.9,5658696.81,well1216,3490.06,1653.97,2,thiem,0,0,0,0,0.5,6,0,9,11,,653.97
WA6386,2529645.62,5658180.13,well1217,4006.74,2454.69,2,thiem,0,0,0,0,0.5,6,0,9,11,,1454.69
WA6388,2530857.49,5657509.51,well1218,4677.36,3666.56,2,thiem,0,0,0,0,0.5,6,0,10,11,,2666.56
WA6390,2530832.53,5657126.53,well1219,5060.34,3641.6,2,thiem,0,0,0,0,0.5,6,0,10,11,,2641.6
WA6394,2530292.86,5657478.66,well1220,4708.21,3101.93,2,thiem,0,0,0,0,0.5,6,0,10,11,,2101.93
WA6426,2529051.19,5659798.01,well1221,2388.86,1860.26,2,thiem,0,0,0,0,0.5,6,0,9,11,,860.26
WA6431,2528578.87,5659587.26,well1222,2599.61,1387.94,2,thiem,0,0,0,0,0.5,6,0,10,11,,387.94
WA6432,2528686.11,5659196.74,well1223,2990.13,1495.18,2,thiem,0,0,0,0,0.5,6,0,9,11,,495.18
WA6433,2528666.54,5658930.85,well1224,3256.02,1475.61,2,thiem,0,0,0,0,0.5,6,0,9,11,,475.61
WA6434,2528859.31,5658461.12,well1225,3725.75,1668.38,2,thiem,0,0,0,0,0.5,6,0,11,11,,668.38
WA6436,2528789.5,5658013.96,well1226,4172.91,1598.57,2,thiem,0,0,0,0,0.5,6,0,10,11,,598.57
WA6443,2529943.79,5657345.63,well1227,4841.24,2752.86,2,thiem,0,0,0,0,0.5,6,0,10,11,,1752.86
WA6502,2529073.2,5660700.27,well1228,1486.6,1882.27,2,thiem,0,0,0,0,0.5,6,0,10,11,,882.27
WA6507,2529173.62,5660849.87,well1229,1337,1982.69,2,thiem,0,0,0,0,0.5,6,0,9,11,,982.69
WA6601,2530314.42,5659216.16,well1230,2970.71,3123.49,2,thiem,0,0,0,0,0.5,6,0,9,11,,2123.49
WA6603,2530311.38,5659017.73,well1231,3169.14,3120.45,2,thiem,0,0,0,0,0.5,6,0,9,11,,2120.45
WA6608,2530616.46,5658618.02,well1232,3568.85,3425.53,2,thiem,0,0,0,0,0.5,6,0,9,9,,2425.53
WA6609,2530419.08,5658836.93,well1233,3349.94,3228.15,2,thiem,0,0,0,0,0.5,6,0,9,11,,2228.15
WA6617,2530359.34,5658070.28,well1234,4116.59,3168.41,2,thiem,0,0,0,0,0.5,6,0,10,11,,2168.41
W 5665,2530514.74,5658744.71,well1235,3442.16,3323.81,0,thiem,0,0,0,0,0.5,6,0,12,12,,2323.81
W 5666,2530409.07,5658691.72,well1236,3495.15,3218.14,0,thiem,0,0,0,0,0.5,6,0,12,12,,2218.14
W 5712,2529788.99,5661139.57,well1237,1047.3,2598.06,0,thiem,0,0,0,0,0.5,6,0,12,12,,1598.06
W 5749,2528816.75,5658569.02,well1238,3617.85,1625.82,0,thiem,0,0,0,0,0.5,6,0,12,12,,625.82
W 5775,2529127.32,5660722.82,well1239,1464.05,1936.39,0,thiem,0,0,0,0,0.5,6,0,12,12,,936.39
W 5777,2529141.43,5659993.89,well1240,2192.98,1950.5,0,thiem,0,0,0,0,0.5,6,0,12,12,,950.5
W 5778,2529108.44,5659567.44,well1241,2619.43,1917.51,0,thiem,0,0,0,0,0.5,6,0,12,12,,917.51
W 5779,2528789.16,5661563.91,well1242,622.96,1598.23,0,thiem,0,0,0,0,0.5,6,0,12,12,,598.23
W 5780,2528700.32,5661512.18,well1243,674.69,1509.39,0,thiem,0,0,0,0,0.5,6,0,12,12,,509.39
W 5782,2528482.95,5661515.94,well1244,670.93,1292.02,0,thiem,0,0,0,0,0.5,6,0,12,12,,292.02
W 5784,2528345.99,5661445.15,well1245,741.72,1155.06,0,thiem,0,0,0,0,0.5,6,0,12,12,,155.06
W 5785,2528723.23,5661446.05,well1246,740.82,1532.3,0,thiem,0,0,0,0,0.5,6,0,12,12,,532.3
W 5799,2530749.14,5658663.87,well1247,3523,3558.21,0,thiem,0,0,0,0,0.5,6,0,12,12,,2558.21
W 5805,2529327.73,5661116.26,well1248,1070.61,2136.8,0,thiem,0,0,0,0,0.5,6,0,12,12,,1136.8
W 5819,2530135.43,5657597.39,well1249,4589.48,2944.5,0,thiem,0,0,0,0,0.5,6,0,12,12,,1944.5
W 5821,2528713.46,5660369.72,well1250,1817.15,1522.53,0,thiem,0,0,0,0,0.5,6,0,12,12,,522.53
W 5842,2530683.37,5659860.93,well1251,2325.94,3492.44,0,thiem,0,0,0,0,0.5,6,0,12,12,,2492.44
W 5975,2530334.25,5657959.45,well1252,4227.42,3143.32,0,thiem,0,0,0,0,0.5,6,0,12,12,,2143.32
W 5985,2528423.58,5660294.45,well1253,1892.42,1232.65,0,thiem,0,0,0,0,0.5,6,0,12,12,,232.65
W 5987,2528779.09,5659936.75,well1254,2250.12,1588.16,0,thiem,0,0,0,0,0.5,6,0,12,12,,588.16
W 5996,2528830.84,5660333.41,well1255,1853.46,1639.91,0,thiem,0,0,0,0,0.5,6,0,12,12,,639.91
W 5999,2528556.31,5660820.2,well1256,1366.67,1365.38,0,thiem,0,0,0,0,0.5,6,0,12,12,,365.38
W 6002,2528481.62,5661134.03,well1257,1052.84,1290.69,0,thiem,0,0,0,0,0.5,6,0,12,12,,290.69
W 6005,2529609.46,5661260.18,well1258,926.69,2418.53,0,thiem,0,0,0,0,0.5,6,0,12,12,,1418.53
W 6037,2529862.5,5661818.68,well1259,368.19,2671.57,0,thiem,0,0,0,0,0.5,6,0,12,12,,1671.57
W 6040,2530009.18,5661674.16,well1260,512.71,2818.25,0,thiem,0,0,0,0,0.5,6,0,12,12,,1818.25
W 6045,2529913.84,5661729.56,well1261,457.31,2722.91,0,thiem,0,0,0,0,0.5,6,0,12,12,,1722.91
W 6053,2530160.89,5661755.38,well1262,431.49,2969.96,0,thiem,0,0,0,0,0.5,6,0,12,12,,1969.96
W 6075,2528720.59,5660977.78,well1263,1209.09,1529.66,0,thiem,0,0,0,0,0.5,6,0,12,12,,529.66
W 6089,2528417.34,5658751.98,well1264,3434.89,1226.41,0,thiem,0,0,0,0,0.5,6,0,12,12,,226.41
W 6121,2528345.99,5661445.15,well1265,741.72,1155.06,0,thiem,0,0,0,0,0.5,6,0,12,12,,155.06
W 6122,2530037.55,5661831.26,well1266,355.61,2846.62,0,thiem,0,0,0,0,0.5,6,0,12,12,,1846.62
W 6129,2529448.55,5661554.61,well1267,632.26,2257.62,0,thiem,0,0,0,0,0.5,6,0,12,12,,1257.62
W 6130,2529888.7,5661324,well1268,862.87,2697.77,0,thiem,0,0,0,0,0.5,6,0,12,12,,1697.77
W 6139,2529080.18,5660596.64,well1269,1590.23,1889.25,0,thiem,0,0,0,0,0.5,6,0,12,12,,889.25
W 6150,2529669.57,5661373.68,well1270,813.19,2478.64,0,thiem,0,0,0,0,0.5,6,0,12,12,,1478.64
W 6157,2528403.21,5660672.93,well1271,1513.94,1212.28,0,thiem,0,0,0,0,0.5,6,0,12,12,,212.28
W 6158,2530555.59,5657941.75,well1272,4245.12,3364.66,0,thiem,0,0,0,0,0.5,6,0,12,12,,2364.66
W 6182,2529076.21,5661142.43,well1273,1044.44,1885.28,0,thiem,0,0,0,0,0.5,6,0,12,12,,885.28
W 6224,2529410.8,5661253.76,well1274,933.11,2219.87,0,thiem,0,0,0,0,0.5,6,0,12,12,,1219.87
W 6233,2528395.69,5660068.53,well1275,2118.34,1204.76,0,thiem,0,0,0,0,0.5,6,0,12,12,,204.76
W 6235,2528361.11,5660413.51,well1276,1773.36,1170.18,0,thiem,0,0,0,0,0.5,6,0,12,12,,170.18
W 6252,2528489.64,5660371.97,well1277,1814.9,1298.71,0,thiem,0,0,0,0,0.5,6,0,12,12,,298.71
W 6263,2528343.18,5659530.53,well1278,2656.34,1152.25,0,thiem,0,0,0,0,0.5,6,0,12,12,,152.25
W 6273,2529264.84,5661329.86,well1279,857.01,2073.91,0,thiem,0,0,0,0,0.5,6,0,12,12,,1073.91
W 6274,2529216.53,5661176.19,well1280,1010.68,2025.6,0,thiem,0,0,0,0,0.5,6,0,12,12,,1025.6
W 6275,2529070.49,5660804.14,well1281,1382.73,1879.56,0,thiem,0,0,0,0,0.5,6,0,12,12,,879.56
W 6276,2528408.02,5659220.5,well1282,2966.37,1217.09,0,thiem,0,0,0,0,0.5,6,0,12,12,,217.09
W 6277,2528467.55,5661454.61,well1283,732.26,1276.62,0,thiem,0,0,0,0,0.5,6,0,12,12,,276.62
W 6301,2528742.74,5657897.15,well1284,4289.72,1551.81,0,thiem,0,0,0,0,0.5,6,0,12,12,,551.81
W 6308,2530345.09,5657216.78,well1285,4970.09,3154.16,0,thiem,0,0,0,0,0.5,6,0,12,12,,2154.16
W 6313,2528640.7,5659660.94,well1286,2525.93,1449.77,0,thiem,0,0,0,0,0.5,6,0,12,12,,449.77
W 6318,2528323.62,5660954.49,well1287,1232.38,1132.69,0,thiem,0,0,0,0,0.5,6,0,12,12,,132.69
W 6320,2529362.87,5661522.14,well1288,664.73,2171.94,0,thiem,0,0,0,0,0.5,6,0,12,12,,1171.94
W 6321,2529541.98,5661666.89,well1289,519.98,2351.05,0,thiem,0,0,0,0,0.5,6,0,12,12,,1351.05
W 6322,2528352.12,5661074.14,well1290,1112.73,1161.19,0,thiem,0,0,0,0,0.5,6,0,12,12,,161.19
W 6323,2529669.68,5661074.37,well1291,1112.5,2478.75,0,thiem,0,0,0,0,0.5,6,0,12,12,,1478.75
W 6324,2528392.4,5660882.09,well1292,1304.78,1201.47,0,thiem,0,0,0,0,0.5,6,0,12,12,,201.47
W 6325,2529546.46,5661602.83,well1293,584.04,2355.53,0,thiem,0,0,0,0,0.5,6,0,12,12,,1355.53
W 6327,2528520.53,5660052.66,well1294,2134.21,1329.6,0,thiem,0,0,0,0,0.5,6,0,12,12,,329.6
W 6328,2528405.63,5659805.2,well1295,2381.67,1214.7,0,thiem,0,0,0,0,0.5,6,0,12,12,,214.7
W 6330,2528407.21,5659711.8,well1296,2475.07,1216.28,0,thiem,0,0,0,0,0.5,6,0,12,12,,216.28
W 6331,2528588.88,5660159.7,well1297,2027.17,1397.95,0,thiem,0,0,0,0,0.5,6,0,12,12,,397.95
W 6340,2529195.69,5658745.19,well1298,3441.68,2004.76,0,thiem,0,0,0,0,0.5,6,0,12,12,,1004.76
W 6346,2529514.32,5658002.68,well1299,4184.19,2323.39,0,thiem,0,0,0,0,0.5,6,0,12,12,,1323.39
W 6349,2529641.86,5657790.24,well1300,4396.63,2450.93,0,thiem,0,0,0,0,0.5,6,0,12,12,,1450.93
W 6354,2529050.99,5657502.64,well1301,4684.23,1860.06,0,thiem,0,0,0,0,0.5,6,0,12,12,,860.06
W 6355,2528786.5,5657693.45,well1302,4493.42,1595.57,0,thiem,0,0,0,0,0.5,6,0,12,12,,595.57
W 6359,2530563.32,5657276.66,well1303,4910.21,3372.39,0,thiem,0,0,0,0,0.5,6,0,12,12,,2372.39
W 6362,2528578.55,5659182.61,well1304,3004.26,1387.62,0,thiem,0,0,0,0,0.5,6,0,12,12,,387.62
W 6363,2528399.5,5657830.46,well1305,4356.41,1208.57,0,thiem,0,0,0,0,0.5,6,0,12,12,,208.57
W 6365,2528597.31,5658597.84,well1306,3589.03,1406.38,0,thiem,0,0,0,0,0.5,6,0,12,12,,406.38
W 6368,2531007.69,5657139.53,well1307,5047.34,3816.76,0,thiem,0,0,0,0,0.5,6,0,12,12,,2816.76
W 6377,2528428.01,5658532.34,well1308,3654.53,1237.08,0,thiem,0,0,0,0,0.5,6,0,12,12,,237.08
W 6379,2528407.53,5658306.25,well1309,3880.62,1216.6,0,thiem,0,0,0,0,0.5,6,0,12,12,,216.6
W 6382,2528322.29,5659674.83,well1310,2512.04,1131.36,0,thiem,0,0,0,0,0.5,6,0,12,12,,131.36
W 6384,2528535.54,5658975.28,well1311,3211.59,1344.61,0,thiem,0,0,0,0,0.5,6,0,12,12,,344.61
W 6385,2528924.84,5657533.77,well1312,4653.1,1733.91,0,thiem,0,0,0,0,0.5,6,0,12,12,,733.91
W 6389,2530839.94,5657412.96,well1313,4773.91,3649.01,0,thiem,0,0,0,0,0.5,6,0,12,12,,2649.01
W 6391,2530500.09,5657567.27,well1314,4619.6,3309.16,0,thiem,0,0,0,0,0.5,6,0,12,12,,2309.16
W 6392,2530604.76,5657539.83,well1315,4647.04,3413.83,0,thiem,0,0,0,0,0.5,6,0,12,12,,2413.83
W 6393,2530672.37,5657276.13,well1316,4910.74,3481.44,0,thiem,0,0,0,0,0.5,6,0,12,12,,2481.44
W 6395,2530436.48,5657362.09,well1317,4824.78,3245.55,0,thiem,0,0,0,0,0.5,6,0,12,12,,2245.55
